state,model,RMSE
AK,global_model_4.pkl,162.5589367145472
AL,global_model.pkl,158.2856544735773
AR,AR_model.pkl,159.7941364359729
AZ,global_model.pkl,91.37232531992012
CA,CA_model.pkl,233.271896594427
CO,global_model.pkl,109.38238132990159
CT,combined_states_pipeline.pkl,114.62381902646864
DC,global_model_5.pkl,192.3861867229605
DE,combined_states_pipeline.pkl,89.28333333333342
FL,global_model_2.pkl,110.99887972848781
GA,global_model_5.pkl,158.03109523731848
HI,global_model.pkl,291.8206573242809
IA,IA_model.pkl,191.88439231572417
ID,global_model_6.pkl,399.19647850193985
IL,combined_states_pipeline.pkl,192.13480161919807
IN,global_model_3_1.pkl,142.2374843900254
KS,global_model.pkl,65.78946306122073
KY,global_model.pkl,75.14957195533655
LA,global_model.pkl,96.08155618566262
MA,global_model_6.pkl,180.26064523246384
MD,global_model.pkl,99.93125551008306
ME,ME_model.pkl,373.7435302920777
MI,combined_states_pipeline.pkl,153.94277423596535
MN,combined_states_pipeline.pkl,164.11193395730328
MO,global_model_3_1.pkl,140.92360994730518
MS,global_model_4.pkl,217.7207661463245
MT,global_model_3_1.pkl,111.88724583408575
NC,NC_model.pkl,183.16427814980617
ND,ND_model.pkl,190.20404337079432
NE,global_model.pkl,83.48321452113751
NH,NH_model.pkl,182.11181957524846
NJ,global_model_3_1.pkl,153.59952205853477
NM,global_model_3_1.pkl,120.8134733755013
NV,global_model.pkl,80.46945999260042
NY,combined_states_pipeline.pkl,164.53954070198043
OH,global_model.pkl,103.41955754396118
OK,global_model.pkl,100.82960281353418
OR,global_model_5.pkl,206.6435991367246
PA,combined_states_pipeline.pkl,206.8973444024795
RI,combined_states_pipeline.pkl,159.47530362016417
SC,global_model_2.pkl,100.53680524156535
SD,global_model_3_1.pkl,68.22420387821856
TN,global_model.pkl,90.13034047832144
TX,global_model.pkl,102.32436043492393
UT,UT_model.pkl,170.18201874752884
VA,global_model.pkl,115.75915774783672
VT,global_model_4.pkl,185.87368959946747
WA,global_model.pkl,108.02502998697074
WI,global_model_6.pkl,157.11461392307746
WV,global_model_3_1.pkl,110.01400205582928
WY,global_model_3_1.pkl,152.0975081486086
